method;model;instance;sat;time;nodes;propagations;memory
CP;base_global_model;10x10;true;0.0;6;271;0.0
CP;base_global_model;11x11;true;0.0;14;739;0.0
CP;base_global_model;12x12;true;0.001;13;1091;0.0
CP;base_global_model;13x13;true;0.0;13;905;0.0
CP;base_global_model;14x14;true;0.001;11;736;0.0
CP;base_global_model;15x15;true;0.001;13;897;0.0
CP;base_global_model;16x16;true;0.0;12;1021;0.0
CP;base_global_model;17x17;true;0.002;35;4494;0.0
CP;base_global_model;18x18;true;0.454;2759;533562;0.0
CP;base_global_model;19x19;true;0.001;17;1954;0.0
CP;base_global_model;20x20;true;0.045;659;119592;0.0
CP;base_global_model;21x21;true;0.001;22;2618;0.0
CP;base_global_model;22x22;true;0.108;972;199771;0.0
CP;base_global_model;23x23;true;0.965;4974;1203317;0.0
CP;base_global_model;24x24;true;0.002;24;3684;0.0
CP;base_global_model;25x25;true;0.467;3715;953430;0.0
CP;base_global_model;26x26;true;4.947;33030;12338309;0.0
CP;base_global_model;27x27;true;0.004;42;9089;0.0
CP;base_global_model;28x28;true;1.104;4707;1339405;0.0
CP;base_global_model;29x29;true;2.633;10540;3973251;0.0
CP;base_global_model;30x30;true;0.005;54;10476;0.0
CP;base_global_model;31x31;true;0.001;28;4340;0.0
CP;base_global_model;32x32;true;16.341999;87194;36841443;0.0
CP;base_global_model;33x33;true;1.717;9931;4226475;0.0
CP;base_global_model;34x34;true;0.009;90;18068;0.0
CP;base_global_model;35x35;true;0.003;34;6829;0.0
CP;base_global_model;36x36;true;0.004;35;7112;0.0
CP;base_global_model;37x37;true;42.772;117956;47269882;0.0
CP;base_global_model;38x38;true;1.838;10411;1930077;0.0
CP;base_global_model;39x39;true;52.227;146848;61008260;0.0
CP;base_global_model;40x40;true;0.002;35;5639;0.0
CP;base_global_model;rotation_test;false;-;-;-;-CP
CP;rot_global_model;8x8;true;0.0;9;152;0.0
CP;rot_global_model;9x9;true;0.001;10;291;0.0
CP;rot_global_model;10x10;true;0.0;12;408;0.0
CP;rot_global_model;11x11;true;0.002;39;2481;0.0
CP;rot_global_model;12x12;true;0.001;21;1187;0.0
CP;rot_global_model;13x13;true;0.002;32;2284;0.0
CP;rot_global_model;14x14;true;0.001;26;1673;0.0
CP;rot_global_model;15x15;true;0.002;37;2921;0.0
CP;rot_global_model;16x16;true;0.002;23;1634;0.0
CP;rot_global_model;17x17;true;0.002;33;3085;0.0
CP;rot_global_model;18x18;true;1.331;7459;1588000;0.0
CP;rot_global_model;19x19;true;0.115;944;150992;0.0
CP;rot_global_model;20x20;true;0.021;200;28185;0.0
CP;rot_global_model;21x21;true;0.01;106;15156;0.0
CP;rot_global_model;22x22;true;0.017;97;16673;0.0
CP;rot_global_model;23x23;true;18.932;79192;24832540;0.0
CP;rot_global_model;24x24;true;3.594;21388;5648587;0.0
CP;rot_global_model;25x25;true;2.008;7423;2089151;0.0
CP;rot_global_model;26x26;true;16.716999;55605;16920460;0.0
CP;rot_global_model;27x27;true;4.157;17996;6116759;0.0
CP;rot_global_model;28x28;true;11.221;33631;11319838;0.0
CP;rot_global_model;29x29;true;1038.251;3381737;1219343023;0.0
CP;rot_global_model;30x30;true;52.789;151180;41896201;0.0
CP;rot_global_model;31x31;true;3.975;14202;3662969;0.0
CP;rot_global_model;32x32;true;13385.407;37640846;16405044538;0.0
CP;rot_global_model;33x33;true;0.031;197;41557;0.0
CP;rot_global_model;34x34;true;5.361;18808;5375826;0.0
CP;rot_global_model;35x35;true;12.866;44325;13693232;0.0
CP;rot_global_model;36x36;true;13.551;44966;14045118;0.0
CP;rot_global_model;37x37;true;12279.628;40463492;17513546966;0.0
CP;rot_global_model;38x38;true;2.048;8868;2221247;0.0
CP;rot_global_model;39x39;true;7189.647;23404787;12421204722;0.0
CP;rot_global_model;40x40;true;22.142;74395;19584365;0.0
CP;rot_global_model;rotation_test;true;0.0;8;161;0.0
SMT;base_model;8x8;true;0.024;7;196;87.82
SMT;base_model;9x9;true;0.024;15;335;87.82
SMT;base_model;10x10;true;0.018;44;954;4.25
SMT;base_model;11x11;true;0.04;148;5707;4.86
SMT;base_model;12x12;true;0.039;214;5214;5.21
SMT;base_model;13x13;true;0.041;54;1119;5.37
SMT;base_model;14x14;true;0.043;96;2641;5.73
SMT;base_model;15x15;true;0.066;507;5574;6.37
SMT;base_model;16x16;true;0.105;388;22306;7.27
SMT;base_model;17x17;true;0.193;781;40421;8.5
SMT;base_model;18x18;true;0.984;5922;449119;16.73
SMT;base_model;19x19;true;0.443;3356;143315;11.96
SMT;base_model;20x20;true;0.504;2378;199929;13.33
SMT;base_model;21x21;true;0.729;5095;348298;16.47
SMT;base_model;22x22;true;0.446;3668;209723;15.21
